Learning Rate	Train Loss	Train acc	Test Loss	Test acc	
0.010000	0.086701	19.540733	0.033379	12.436319	
0.010000	0.027710	13.352592	0.038789	14.643991	
0.010000	0.023071	12.541961	0.022235	10.981542	
0.010000	0.021168	12.171736	0.012127	6.816035	
0.010000	0.019162	11.505700	0.022635	16.616220	
0.010000	0.018262	11.509246	0.032928	20.424431	
0.010000	0.017128	11.109406	0.011388	8.112990	
0.010000	0.016014	10.362041	0.013669	8.997887	
0.010000	0.015049	10.069557	0.012105	8.214372	
0.010000	0.014482	9.849616	0.016126	11.641325	
0.010000	0.014014	9.851051	0.026814	17.261951	
0.010000	0.013381	9.708547	0.009865	7.749157	
0.010000	0.013042	9.701663	0.011474	6.746780	
0.010000	0.012323	9.144362	0.011789	8.369421	
0.010000	0.012200	9.123023	0.018434	17.381470	
0.010000	0.011612	8.876650	0.012449	5.704737	
0.010000	0.011323	8.782596	0.022223	19.403845	
0.010000	0.010943	8.615899	0.010154	5.458506	
0.010000	0.010611	8.469484	0.024029	15.232636	
0.010000	0.010250	8.089608	0.011322	6.136263	
0.010000	0.010070	7.979074	0.009351	4.695004	
0.010000	0.009587	7.907251	0.010518	8.533848	
0.010000	0.009532	7.990391	0.016475	13.699560	
0.010000	0.009195	7.734028	0.016641	13.993929	
0.010000	0.009090	7.747189	0.010104	5.485791	
0.010000	0.008842	7.694945	0.014056	13.158970	
0.010000	0.008546	7.504308	0.009638	5.167168	
0.010000	0.008484	7.492446	0.014772	9.434467	
0.010000	0.008338	7.391497	0.020693	13.638312	
0.010000	0.008125	7.433750	0.012505	9.850844	
0.010000	0.007932	7.143255	0.010431	6.234572	
0.010000	0.007813	7.361318	0.012392	7.244000	
0.010000	0.007733	7.215043	0.010533	6.192465	
0.010000	0.007686	7.213403	0.008881	4.446714	
0.010000	0.007472	7.057915	0.010397	5.717706	
0.010000	0.007342	7.093629	0.011120	6.578281	
0.010000	0.007316	7.169977	0.011936	6.262494	
0.010000	0.007105	7.037091	0.010925	5.866575	
0.010000	0.007063	6.881287	0.012701	5.888270	
0.010000	0.007054	7.028381	0.012420	7.227893	
0.010000	0.006826	7.083520	0.015277	9.288740	
0.010000	0.006701	6.949993	0.011445	5.261983	
0.010000	0.006783	7.032589	0.019241	10.589813	
0.010000	0.006576	6.835906	0.023358	13.481419	
0.010000	0.006641	6.835618	0.013176	7.180705	
0.010000	0.006534	6.850070	0.012628	6.613304	
0.010000	0.006395	6.630939	0.017313	10.379485	
0.010000	0.006194	6.833047	0.010840	5.249438	
0.010000	0.006195	6.974646	0.020466	10.217981	
0.010000	0.006106	6.883536	0.011561	9.788495	
0.010000	0.006188	6.802144	0.015644	8.097860	
0.010000	0.006153	6.890740	0.021913	11.433679	
0.010000	0.005872	6.821920	0.011402	6.617076	
0.010000	0.005908	6.678332	0.014792	8.922026	
0.010000	0.005776	6.679511	0.014388	7.331727	
0.010000	0.005728	6.718527	0.011245	6.102231	
0.010000	0.005730	6.578242	0.013069	6.032351	
0.010000	0.005657	6.758933	0.011892	5.747041	
0.010000	0.005505	6.813495	0.010676	5.583875	
0.010000	0.005491	6.678780	0.011876	5.909451	
0.010000	0.005481	6.630409	0.011798	6.220221	
0.010000	0.005439	6.647114	0.015705	8.314247	
0.010000	0.005389	6.565677	0.012934	6.304861	
0.010000	0.005399	6.569879	0.018262	13.795249	
0.010000	0.005329	6.688632	0.016025	9.450524	
0.010000	0.005306	6.703347	0.011590	6.282529	
0.010000	0.005253	6.562951	0.014440	6.946599	
0.010000	0.005114	6.591858	0.013148	6.920122	
0.010000	0.005161	6.603792	0.010908	5.531173	
0.010000	0.005025	6.460490	0.012371	5.643955	
0.010000	0.004971	6.404086	0.011545	5.536980	
0.010000	0.004958	6.557706	0.012136	5.575629	
0.010000	0.004916	6.682345	0.016006	8.915874	
0.010000	0.004835	6.438937	0.012853	5.912131	
0.010000	0.004881	6.529009	0.012655	6.535170	
0.010000	0.004895	6.423232	0.011035	6.106107	
0.010000	0.004730	6.429698	0.014070	7.316061	
0.010000	0.004794	6.486654	0.012489	7.046001	
0.010000	0.004734	6.495365	0.016283	8.553453	
0.010000	0.004684	6.401551	0.012708	6.409237	
0.010000	0.004668	6.477151	0.011993	6.048743	
0.010000	0.004618	6.389616	0.013199	6.337735	
0.010000	0.004649	6.543413	0.013482	7.350714	
0.010000	0.004526	6.421009	0.014157	7.031146	
0.010000	0.004494	6.368137	0.013021	6.867496	
0.010000	0.004519	6.576365	0.012584	6.063907	
0.010000	0.004492	6.369459	0.012644	6.133471	
0.010000	0.004449	6.374314	0.014833	7.557539	
0.010000	0.004351	6.340126	0.014085	6.668387	
0.010000	0.004369	6.215714	0.013278	8.851823	
0.010000	0.004338	6.392168	0.013253	6.713769	
0.010000	0.004287	6.430589	0.013362	6.467056	
0.010000	0.004264	6.443297	0.013692	6.748909	
0.010000	0.004252	6.389425	0.014711	7.740201	
0.010000	0.004251	6.436707	0.013427	6.863198	
0.010000	0.004300	6.422873	0.013656	6.784770	
0.010000	0.004148	6.232653	0.011975	6.896423	
0.010000	0.004164	6.434709	0.013088	6.076978	
0.010000	0.004159	6.312094	0.012889	6.269053	
0.010000	0.004058	6.207782	0.012267	5.312456	
